"date","category_number","latitude","longitude","parameter_name","raw_concentration","AQI","location","agency","V10","V11","category","traffic_index_live","jams_delay","jams_length","jams_count","temp","pressure","humidity","temp_min","temp_max","weather_main","weather_description","wind_speed","wind_deg","sunrise","sunset","feels_like"
2020-10-27 15:00:00,1,38.921848,-77.013176,"OZONE",5.9,6,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.921848,-77.013176,"SO2",-0.072,0,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.894749,-76.953427,"PM2.5",7,38,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.921848,-77.013176,"NO2",7.53,7,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.875161,-77.012816,"PM2.5",10,37,"King Greenleaf Rec Center","District of Columbia - Department of Energy and Environment",840110010053,840840110010053,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.895683,-76.958089,"PM2.5",9,35,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.921848,-77.013176,"PM2.5",9,35,"McMillan Reservoir","District of Columbia - Department of Energy and Environment",110010043,840110010043,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.895683,-76.958089,"OZONE",5.3,6,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.894749,-76.953427,"NO2",9.95,8,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.970101,-77.016715,"OZONE",4.7,5,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.859402,-77.058899,"NO2",10.6,9,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.859402,-77.058899,"OZONE",2,3,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.895683,-76.958089,"NO2",10.12,9,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 15:00:00,1,38.970101,-77.016715,"NO2",7,7,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",14,239.9,71.4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.921848,-77.013176,"PM2.5",7,32,"McMillan Reservoir","District of Columbia - Department of Energy and Environment",110010043,840110010043,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.970101,-77.016715,"OZONE",7.3,6,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.921848,-77.013176,"OZONE",9.3,7,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.970101,-77.016715,"NO2",6.55,6,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.875161,-77.012816,"PM2.5",12,43,"King Greenleaf Rec Center","District of Columbia - Department of Energy and Environment",840110010053,840840110010053,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.895683,-76.958089,"PM2.5",5,28,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.921848,-77.013176,"NO2",7.16,7,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.894749,-76.953427,"NO2",8,8,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.859402,-77.058899,"NO2",8.6,8,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.859402,-77.058899,"OZONE",6,6,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.895683,-76.958089,"OZONE",6.9,6,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.921848,-77.013176,"SO2",0.022,0,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.894749,-76.953427,"PM2.5",8,36,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 16:00:00,1,38.895683,-76.958089,"NO2",9.95,8,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",15,268.4,72.3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.970101,-77.016715,"OZONE",10.5,9,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
