street.url,address_id,street_num,street_name,quadrant,anc,police_service_area,ward,neighborhood_cluster,police_district,police_sector,census_tract,voter_precinct,single_member_district,zip_code,roadway_id,lat,lon,residential_type
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4349+4TH+ST+NW,147396,4349,4TH STREET,SE,ANC 8D,Police Service Area 708,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D3,009811,Precinct 125,SMD 8D03,20032,21041,38.82719973,-77.00149023,Ward 8
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3499+MORRISON+ST+NW,263078,3400,MORRISON STREET,NW,ANC 3G,Police Service Area 201,Ward 3,Cluster 10,Police District - Second District,Police Sector 2D1,001401,Precinct 50,SMD 3G05,20015,12273,38.96382968,-77.06788549,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=349+H+ST+NW,218149,303,H STREET,NW,ANC 6E,Police Service Area 101,Ward 6,Cluster 8,Police District - First District,Police Sector 1D1,004702,Precinct 1,SMD 6E07,20001,10045,38.90041746,-77.01551093,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5560+NEVADA+AVE+NW,263083,5501,NEVADA AVENUE,NW,ANC 3G,Police Service Area 201,Ward 3,Cluster 10,Police District - Second District,Police Sector 2D1,001401,Precinct 50,SMD 3G05,20015,549,38.96327296,-77.06958434,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2549+QUEEN ANNES+LN+NW,273904,2521,QUEEN ANNES LN,NW,ANC 2A,Police Service Area 207,Ward 2,Cluster 5,Police District - Second District,Police Sector 2D3,005600,Precinct 3,SMD 2A03,20037,9933,38.90160136,-77.05411732,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3424+HOLMEAD+PL+NW,242943,3423,HOLMEAD PL,NW,ANC 1A,Police Service Area 408,Ward 1,Cluster 2,Police District - Fourth District,Police Sector 4D3,002900,Precinct 42,SMD 1A04,20010,9422,38.9326491,-77.03055251,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5705+14TH+ST+NW,257800,5705,14TH ST,NW,ANC 4A,Police Service Area 403,Ward 4,Cluster 18,Police District - Fourth District,Police Sector 4D1,002001,Precinct 53,SMD 4A06,20011,10856,38.95876124,-77.0331275,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5269+RENO+RD+NW,263668,5200,RENO RD,NW,ANC 3E,Police Service Area 202,Ward 3,Cluster 11,Police District - Second District,Police Sector 2D1,001100,Precinct 32,SMD 3E04,20015,4975,38.95727524,-77.07529264,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=357+OAKDALE+PL+NW,284597,319,OAKDALE PL,NW,ANC 1B,Police Service Area 306,Ward 1,Cluster 3,Police District - Third District,Police Sector 3D2,003400,Precinct 20,SMD 1B01,20001,11973,38.91814845,-77.01581851,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3203+CHESTNUT+ST+NW,38890,3203,CHESTNUT STREET,NE,ANC 5C,Police Service Area 503,Ward 5,Cluster 24,Police District - Fifth District,Police Sector 5D2,011100,Precinct 71,SMD 5C02,20018,10692,38.93216135,-76.96141699,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2449+S+ST+NW,47054,2440,S STREET,SE,ANC 8A,Police Service Area 607,Ward 8,Cluster 34,Police District - Sixth District,Police Sector 6D2,007601,Precinct 133,SMD 8A03,20020,8823,38.86841798,-76.9712303,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5249+5TH+ST+NW,246888,5240,5TH STREET,NW,ANC 4D,Police Service Area 403,Ward 4,Cluster 18,Police District - Fourth District,Police Sector 4D1,002101,Precinct 56,SMD 4D03,20011,12131,38.95415886,-77.02002203,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2049+12TH+ST+NW,284156,2001,12TH STREET,NW,ANC 1B,Police Service Area 305,Ward 1,Cluster 3,Police District - Third District,Police Sector 3D2,004400,Precinct 22,SMD 1B02,20009,11044,38.91766616,-77.02780159,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1549+WEBSTER+ST+NW,259256,1500,WEBSTER STREET,NW,ANC 4C,Police Service Area 404,Ward 4,Cluster 18,Police District - Fourth District,Police Sector 4D3,002501,Precinct 48,SMD 4C03,20011,3641,38.9438055,-77.03477494,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=6649+16TH+ST+NW,256365,6600,16TH STREET,NW,ANC 4A,Police Service Area 401,Ward 4,Cluster 17,Police District - Fourth District,Police Sector 4D1,001803,Precinct 61,SMD 4A07,20012,11290,38.96992163,-77.03682925,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=50+I+ST+NW,279801,49,I STREET,NW,ANC 6E,Police Service Area 102,Ward 6,Cluster 8,Police District - First District,Police Sector 1D1,004702,Precinct 1,SMD 6E07,20001,8375,38.90166735,-77.01088932,Ward 6
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=600+CONSTITUTION+AVE+NW,5807,600,CONSTITUTION AVENUE,NE,ANC 6C,Police Service Area 108,Ward 6,Cluster 25,Police District - First District,Police Sector 1D2,008200,Precinct 85,SMD 6C03,20002,9646,38.89216772,-76.99826543,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=244+MISSOURI+AVE+NW,244869,241,MISSOURI AVENUE,NW,ANC 4B,Police Service Area 406,Ward 4,Cluster 17,Police District - Fourth District,Police Sector 4D2,002102,Precinct 57,SMD 4B06,20011,11252,38.95709875,-77.01543166,RESIDENTIAL
