"lat","lon","frc","current_speed","free_flow_speed","current_travel_time","free_flow_travel_time","confidence","road_closure","all_lat_lon","date","frc_name","street.url","address_id","street_num","street_name","quadrant","anc","police_service_area","ward","neighborhood_cluster","police_district","police_sector","census_tract","voter_precinct","single_member_district","zip_code","roadway_id","residential_type"
"38.82585425","-77.00782516","FRC3","35","35","105","105","1","false","38.829175, -77.008371, 38.828938, -77.008365, 38.828821, -77.008364, 38.828547, -77.008363, 38.828118, -77.008361, 38.827792, -77.008360, 38.827532, -77.008357, 38.827320, -77.008360, 38.827162, -77.008350, 38.827091, -77.008346, 38.827055, -77.008341, 38.826859, -77.008315, 38.826630, -77.008267, 38.826390, -77.008199, 38.826188, -77.008126, 38.826142, -77.008106, 38.825988, -77.008036, 38.825860, -77.007966, 38.825637, -77.007844, 38.825532, -77.007777, 38.825297, -77.007627, 38.825190, -77.007558, 38.824898, -77.007363, 38.824667, -77.007206, 38.824487, -77.007085, 38.824215, -77.006905, 38.824173, -77.006873, 38.824121, -77.006836, 38.824062, -77.006790, 38.823979, -77.006729, 38.823776, -77.006565, 38.823368, -77.006131, 38.823268, -77.005998, 38.823176, -77.005873, 38.823091, -77.005743, 38.822959, -77.005532, 38.822862, -77.005341, 38.822801, -77.005218, 38.822772, -77.005162, 38.822702, -77.004998, 38.822659, -77.004900, 38.822397, -77.004321, 38.822170, -77.003820, 38.822021, -77.003490, 38.821864, -77.003145, 38.821801, -77.003005, 38.821740, -77.002905",2020-11-05 17:00:00,"secondary road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=23+ELMIRA+ST+SW",156358,6,"ELMIRA STREET","SW","ANC 8D","Police Service Area 708","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D3","9807","Precinct 126","SMD 8D06",20032,2800,"NON RESIDENTIAL"
"38.82719973","-77.00149023","FRC4","33","33","67","67","1","false","38.825208, -76.996155, 38.824585, -76.996946, 38.824204, -76.997473, 38.824137, -76.997567, 38.823786, -76.998039, 38.823440, -76.998483, 38.822839, -76.999248, 38.822319, -76.999910, 38.822181, -77.000096, 38.822064, -77.000248, 38.821975, -77.000368, 38.821902, -77.000466, 38.821735, -77.000697, 38.821671, -77.000785, 38.821452, -77.001067, 38.821334, -77.001223, 38.821301, -77.001265",2020-11-05 17:00:00,"local connecting road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4349+4TH+ST+NW",147396,4349,"4TH STREET","SE","ANC 8D","Police Service Area 708","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D3","9811","Precinct 125","SMD 8D03",20032,21041,"Ward 8"
"38.82770175","-76.99821275","FRC4","37","37","42","42","1","false","38.827959, -76.992623, 38.827758, -76.992882, 38.827603, -76.993081, 38.827536, -76.993167, 38.826142, -76.994953, 38.825788, -76.995406, 38.825732, -76.995479, 38.825368, -76.995945, 38.825208, -76.996155",2020-11-05 17:00:00,"local connecting road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4241+6TH+ST+SE",24551,4240,"6TH STREET","SE","ANC 8D","Police Service Area 706","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D3","9811","Precinct 125","SMD 8D01",20032,15258,"RESIDENTIAL"
"38.8284527","-77.01221179","FRC0","82","82","68","68","1","false","38.828184, -77.014714, 38.828358, -77.014633, 38.828480, -77.014566, 38.828632, -77.014472, 38.828873, -77.014307, 38.829159, -77.014101, 38.829411, -77.013906, 38.829646, -77.013728, 38.829907, -77.013524, 38.829984, -77.013465, 38.830162, -77.013328, 38.831621, -77.012205, 38.832505, -77.011505, 38.832747, -77.011310, 38.833048, -77.011078, 38.834021, -77.010327, 38.834263, -77.010140, 38.835286, -77.009345, 38.836314, -77.008551, 38.837568, -77.007632, 38.837623, -77.007591, 38.837738, -77.007503, 38.837886, -77.007394, 38.838043, -77.007300, 38.838232, -77.007187, 38.838526, -77.007042, 38.838809, -77.006910, 38.839124, -77.006787, 38.839457, -77.006687, 38.839798, -77.006601, 38.840265, -77.006476, 38.840511, -77.006401",2020-11-05 17:00:00,"motorway, freeway or other major road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=197+CHESAPEAKE+ST+SW",54481,190,"CHESAPEAKE STREET","SW","ANC 8D","Police Service Area 708","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D3","9807","Precinct 126","SMD 8D06",20032,12344,"RESIDENTIAL"
"38.83552739","-76.99173058","FRC4","29","40","120","87","1","false","38.832110, -76.987301, 38.832157, -76.987404, 38.832222, -76.987541, 38.832277, -76.987651, 38.832313, -76.987719, 38.832360, -76.987803, 38.832491, -76.988014, 38.832635, -76.988229, 38.832759, -76.988424, 38.833155, -76.989027, 38.833243, -76.989162, 38.833455, -76.989484, 38.833572, -76.989664, 38.833690, -76.989842, 38.833872, -76.990124, 38.834094, -76.990445, 38.834354, -76.990832, 38.834418, -76.990934, 38.834507, -76.991069, 38.834580, -76.991182, 38.834791, -76.991505, 38.834971, -76.991781, 38.835098, -76.991958, 38.835197, -76.992082, 38.835336, -76.992222, 38.835518, -76.992369, 38.835833, -76.992589, 38.836033, -76.992727, 38.836162, -76.992817, 38.836368, -76.992955, 38.836522, -76.993065, 38.836703, -76.993189, 38.836754, -76.993227, 38.836809, -76.993262, 38.836854, -76.993289, 38.836902, -76.993317, 38.836982, -76.993364, 38.837159, -76.993432, 38.837213, -76.993448, 38.837296, -76.993468, 38.837361, -76.993483, 38.837442, -76.993495, 38.837501, -76.993499, 38.837589, -76.993505, 38.837917, -76.993526, 38.837955, -76.993529, 38.838289, -76.993542, 38.838374, -76.993546, 38.838405, -76.993547, 38.838617, -76.993555, 38.838778, -76.993560",2020-11-05 17:00:00,"local connecting road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=955+VARNEY+ST+SE",278744,900,"VARNEY STREET","SE","ANC 8E","Police Service Area 706","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D3","9700","Precinct 121","SMD 8E05",20032,12191,"RESIDENTIAL"
"38.83640188","-76.99226376","FRC4","29","40","120","87","1","false","38.832110, -76.987301, 38.832157, -76.987404, 38.832222, -76.987541, 38.832277, -76.987651, 38.832313, -76.987719, 38.832360, -76.987803, 38.832491, -76.988014, 38.832635, -76.988229, 38.832759, -76.988424, 38.833155, -76.989027, 38.833243, -76.989162, 38.833455, -76.989484, 38.833572, -76.989664, 38.833690, -76.989842, 38.833872, -76.990124, 38.834094, -76.990445, 38.834354, -76.990832, 38.834418, -76.990934, 38.834507, -76.991069, 38.834580, -76.991182, 38.834791, -76.991505, 38.834971, -76.991781, 38.835098, -76.991958, 38.835197, -76.992082, 38.835336, -76.992222, 38.835518, -76.992369, 38.835833, -76.992589, 38.836033, -76.992727, 38.836162, -76.992817, 38.836368, -76.992955, 38.836522, -76.993065, 38.836703, -76.993189, 38.836754, -76.993227, 38.836809, -76.993262, 38.836854, -76.993289, 38.836902, -76.993317, 38.836982, -76.993364, 38.837159, -76.993432, 38.837213, -76.993448, 38.837296, -76.993468, 38.837361, -76.993483, 38.837442, -76.993495, 38.837501, -76.993499, 38.837589, -76.993505, 38.837917, -76.993526, 38.837955, -76.993529, 38.838289, -76.993542, 38.838374, -76.993546, 38.838405, -76.993547, 38.838617, -76.993555, 38.838778, -76.993560",2020-11-05 17:00:00,"local connecting road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=904+BLAKNEY+LN+SE",280208,904,"BLAKNEY LANE","SE","ANC 8E","Police Service Area 706","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D3","9700","Precinct 121","SMD 8E05",20032,1842,"RESIDENTIAL"
"38.84035736","-76.99487366","FRC4","37","37","76","76","0.99","false","38.843656, -76.994226, 38.843463, -76.994193, 38.843221, -76.994150, 38.842866, -76.994085, 38.842721, -76.994058, 38.842563, -76.994029, 38.842311, -76.993989, 38.842214, -76.993971, 38.841607, -76.993853, 38.841458, -76.993826, 38.841279, -76.993792, 38.841187, -76.993773, 38.841120, -76.993761, 38.840917, -76.993723, 38.840819, -76.993706, 38.840594, -76.993664, 38.840449, -76.993641, 38.840236, -76.993621, 38.840074, -76.993609, 38.839877, -76.993606, 38.839622, -76.993596, 38.839269, -76.993580, 38.838979, -76.993568, 38.838778, -76.993560, 38.838617, -76.993555, 38.838405, -76.993547, 38.838374, -76.993546, 38.838289, -76.993542, 38.837955, -76.993529, 38.837917, -76.993526, 38.837589, -76.993505, 38.837501, -76.993499, 38.837442, -76.993495, 38.837361, -76.993483, 38.837296, -76.993468, 38.837213, -76.993448, 38.837159, -76.993432, 38.836982, -76.993364, 38.836902, -76.993317, 38.836854, -76.993289, 38.836809, -76.993262, 38.836754, -76.993227, 38.836703, -76.993189",2020-11-05 17:00:00,"local connecting road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=756+CONGRESS+ST+SE",79059,756,"CONGRESS STREET","SE","ANC 8C","Police Service Area 705","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D2","9804","Precinct 122","SMD 8C07",20032,39366,"RESIDENTIAL"
"38.8410678","-76.99093503","FRC4","35","35","56","56","0.99","false","38.838778, -76.993560, 38.838979, -76.993568, 38.839269, -76.993580, 38.839622, -76.993596, 38.839877, -76.993606, 38.840074, -76.993609, 38.840236, -76.993621, 38.840449, -76.993641, 38.840594, -76.993664, 38.840819, -76.993706, 38.840917, -76.993723, 38.841120, -76.993761, 38.841187, -76.993773, 38.841279, -76.993792, 38.841458, -76.993826, 38.841607, -76.993853, 38.842214, -76.993971, 38.842311, -76.993989, 38.842563, -76.994029, 38.842721, -76.994058, 38.842866, -76.994085, 38.843221, -76.994150, 38.843463, -76.994193, 38.843656, -76.994226",2020-11-05 17:00:00,"local connecting road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1149+CONGRESS+ST+SE",74396,1101,"CONGRESS STREET","SE","ANC 8E","Police Service Area 705","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D2","7304","Precinct 120","SMD 8E04",20032,8396,"RESIDENTIAL"
"38.84317416","-76.99385748","FRC4","35","35","56","56","0.99","false","38.838778, -76.993560, 38.838979, -76.993568, 38.839269, -76.993580, 38.839622, -76.993596, 38.839877, -76.993606, 38.840074, -76.993609, 38.840236, -76.993621, 38.840449, -76.993641, 38.840594, -76.993664, 38.840819, -76.993706, 38.840917, -76.993723, 38.841120, -76.993761, 38.841187, -76.993773, 38.841279, -76.993792, 38.841458, -76.993826, 38.841607, -76.993853, 38.842214, -76.993971, 38.842311, -76.993989, 38.842563, -76.994029, 38.842721, -76.994058, 38.842866, -76.994085, 38.843221, -76.994150, 38.843463, -76.994193, 38.843656, -76.994226",2020-11-05 17:00:00,"local connecting road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3249+WHEELER+RD+SE",38481,3210,"WHEELER ROAD","SE","ANC 8C","Police Service Area 705","Ward 8","Cluster 39","Police District - Seventh District","Police Sector 7D2","7304","Precinct 120","SMD 8C03",20032,36377,"RESIDENTIAL"
"38.84500472","-77.01796448","FRC4","50","50","17","17","1","false","38.845040, -77.008550, 38.844725, -77.008569, 38.844136, -77.008616, 38.843700, -77.008650, 38.843404, -77.008672, 38.843216, -77.008668, 38.843146, -77.008667, 38.843094, -77.008666, 38.843013, -77.008662, 38.842918, -77.008654",2020-11-05 17:00:00,"local connecting road","http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5514+LANGLEY+WAY+SW",297236,5514,"LANGLEY WAY","SW","ANC 8C","Police Service Area 707","Ward 8","Cluster 44","Police District - Seventh District","Police Sector 7D2","7301","Precinct 123","SMD 8C05",20032,5086,"RESIDENTIAL"
